,rates
AED,3.887631
AFN,93.681257
ALL,114.158032
AMD,411.700233
ANG,1.908
AOA,533.257916
ARS,209.476379
AUD,1.577354
AWG,1.905286
AZN,1.801944
BAM,1.948801
BBD,2.13757
BDT,113.275237
BGN,1.9524
BHD,0.399146
BIF,2182.611254
BMD,1.058492
BND,1.426793
BOB,7.315446
BRL,5.508922
BSD,1.058672
BTC,4.5472453e-05
BTN,87.432841
BWP,14.003893
BYN,2.672262
BYR,20746.450327
BZD,2.133983
CAD,1.442254
CDF,2165.675511
CHF,0.99874
CLF,0.031197
CLP,860.818908
CNY,7.319792
COP,5109.998904
CRC,591.12243
CUC,1.058492
CUP,28.050048
CVE,110.559838
CZK,23.451952
DJF,188.115624
DKK,7.441508
DOP,58.693061
DZD,144.726264
EGP,32.57038
ERN,15.877385
ETB,56.893463
EUR,1.0
FJD,2.347095
FKP,0.879531
GBP,0.887112
GEL,2.741088
GGP,0.879531
GHS,13.551865
GIP,0.879531
GMD,64.610063
GNF,9341.194802
GTQ,8.268301
GYD,223.384326
HKD,8.308911
HNL,26.102468
HRK,7.467446
HTG,159.860924
HUF,376.196672
IDR,16222.930286
ILS,3.876062
IMP,0.879531
INR,87.204052
IQD,1545.928097
IRR,44721.302368
ISK,151.099249
JEP,0.879531
JMD,163.032066
JOD,0.7509
JPY,144.97007
KES,134.799375
KGS,92.532321
KHR,4297.478801
KMF,492.14632
KPW,952.548231
KRW,1391.382931
KWD,0.32518
KYD,0.882189
KZT,461.367281
LAK,19512.248666
LBP,16142.008217
LKR,366.29538
LRD,168.565109
LSL,19.29633
LTL,3.125453
LVL,0.640271
LYD,5.112577
MAD,11.005672
MDL,19.982828
MGA,4580.096266
MKD,61.53288
MMK,2223.158479
MNT,3736.706771
MOP,8.559266
MRO,377.881592
MUR,49.061106
MVR,16.258391
MWK,1083.364661
MXN,19.186381
MYR,4.737282
MZN,66.809011
NAD,19.295765
NGN,486.906818
NIO,38.560693
NOK,11.077101
NPR,139.892506
NZD,1.706761
OMR,0.407503
PAB,1.058672
PEN,4.002689
PGK,3.725696
PHP,58.221304
PKR,298.442167
PLN,4.696318
PYG,7645.552757
QAR,3.854
RON,4.922064
RSD,117.328581
RUB,79.826227
RWF,1156.402907
SAR,3.972557
SBD,8.715561
SCR,14.743556
SDG,623.971017
SEK,11.140135
SGD,1.427959
SHP,1.287921
SLE,22.00231
SLL,20905.224506
SOS,602.812977
SRD,35.917828
STD,21908.654839
SVC,9.263502
SYP,2659.539147
SZL,19.296152
THB,36.888735
TJS,11.565967
TMT,3.715308
TND,3.336896
TOP,2.496296
TRY,20.000261
TTD,7.182726
TWD,32.477745
TZS,2477.930605
UAH,39.099082
UGX,3934.110946
USD,1.058492
UYU,41.193041
UZS,12024.473206
VEF,2572743.338913
VES,25.749603
VND,25107.438865
VUV,125.948817
WST,2.899564
XAF,653.45205
XAG,0.050985
XAU,0.000577
XCD,2.860629
XDR,0.793458
XOF,653.62548
XPF,118.639985
YER,264.887603
ZAR,19.29769
ZMK,9527.703339
ZMW,21.147129
ZWL,340.834109
